design,k,selector,dwns_ps,dtns_ps,frac_oracle,dtx,picks
epfl_adder,3,frequency,0.0,0.0,0.0,414,"xnor2_1(A=*,B=nand2_1(A=*,B=*));xnor2_1(A=nand2_1(A=*,B=*),B=*);xor2_1(A=*,B=nand2_1(A=*,B=*))"
epfl_adder,3,sta_greedy,1251.398,28218.949,1.0,40,"a311oi_1(A1=*,A2=*,A3=*,B1=nor2_1(A=*,B=*),C1=*);o311ai_0(A1=clkinv_1(A=*),A2=*,A3=*,B1=*,C1=*);o311ai_0(A1=and2_0(A=*,B=*),A2=*,A3=*,B1=*,C1=*)"
epfl_adder,3,sta_rules,1251.398,28218.949,1.0,40,"a311oi_1(A1=*,A2=*,A3=*,B1=nor2_1(A=*,B=*),C1=*);o311ai_0(A1=clkinv_1(A=*),A2=*,A3=*,B1=*,C1=*);o311ai_0(A1=and2_0(A=*,B=*),A2=*,A3=*,B1=*,C1=*)"
epfl_adder,3,exhaustive,1251.398,28218.949,1.0,40,"a311oi_1(A1=*,A2=*,A3=*,B1=nor2_1(A=*,B=*),C1=*);o311ai_0(A1=clkinv_1(A=*),A2=*,A3=*,B1=*,C1=*);o311ai_0(A1=and2_0(A=*,B=*),A2=*,A3=*,B1=*,C1=*)"
epfl_adder,5,frequency,0.0,0.0,0.0,564,"xnor2_1(A=*,B=nand2_1(A=*,B=*));xnor2_1(A=nand2_1(A=*,B=*),B=*);xor2_1(A=*,B=nand2_1(A=*,B=*));xnor2_1(A=*,B=nand2b_1(A_N=*,B=*));xnor2_1(A=*,B=nor2_1(A=*,B=*))"
epfl_adder,5,sta_greedy,1447.391,32037.933,1.0,54,"a311oi_1(A1=*,A2=*,A3=*,B1=nor2_1(A=*,B=*),C1=*);o311ai_0(A1=clkinv_1(A=*),A2=*,A3=*,B1=*,C1=*);o311ai_0(A1=and2_0(A=*,B=*),A2=*,A3=*,B1=*,C1=*);a311oi_1(A1=*,A2=*,A3=*,B1=*,C1=nor2_1(A=*,B=*));o311ai_0(A1=nor2_1(A=*,B=*),A2=*,A3=*,B1=*,C1=*)"
epfl_adder,5,sta_rules,1447.391,32037.933,1.0,54,"a311oi_1(A1=*,A2=*,A3=*,B1=nor2_1(A=*,B=*),C1=*);o311ai_0(A1=clkinv_1(A=*),A2=*,A3=*,B1=*,C1=*);o311ai_0(A1=and2_0(A=*,B=*),A2=*,A3=*,B1=*,C1=*);a311oi_1(A1=*,A2=*,A3=*,B1=*,C1=nor2_1(A=*,B=*));o311ai_0(A1=nor2_1(A=*,B=*),A2=*,A3=*,B1=*,C1=*)"
epfl_adder,5,exhaustive,1447.391,32037.933,1.0,54,"a311oi_1(A1=*,A2=*,A3=*,B1=nor2_1(A=*,B=*),C1=*);o311ai_0(A1=clkinv_1(A=*),A2=*,A3=*,B1=*,C1=*);o311ai_0(A1=and2_0(A=*,B=*),A2=*,A3=*,B1=*,C1=*);a311oi_1(A1=*,A2=*,A3=*,B1=*,C1=nor2_1(A=*,B=*));o311ai_0(A1=nor2_1(A=*,B=*),A2=*,A3=*,B1=*,C1=*)"
epfl_adder,10,frequency,713.211,16777.124,0.493,928,"xnor2_1(A=*,B=nand2_1(A=*,B=*));xnor2_1(A=nand2_1(A=*,B=*),B=*);xor2_1(A=*,B=nand2_1(A=*,B=*));xnor2_1(A=*,B=nand2b_1(A_N=*,B=*));xnor2_1(A=*,B=nor2_1(A=*,B=*));a311oi_1(A1=*,A2=*,A3=*,B1=nor2_1(A=*,B=*),C1=*);xnor2_1(A=*,B=xnor2_1(A=*,B=*));xnor2_1(A=nand2_1(A=*,B=*),B=nand2_1(A=*,B=*));xor2_1(A=o21ai_0(A1=*,A2=*,B1=*),B=*);xor2_1(A=o21ai_0(A1=*,A2=*,B1=*),B=nand2_1(A=*,B=*))"
epfl_adder,10,sta_greedy,1447.391,32356.867,1.0,564,"a311oi_1(A1=*,A2=*,A3=*,B1=nor2_1(A=*,B=*),C1=*);o311ai_0(A1=clkinv_1(A=*),A2=*,A3=*,B1=*,C1=*);o311ai_0(A1=and2_0(A=*,B=*),A2=*,A3=*,B1=*,C1=*);a311oi_1(A1=*,A2=*,A3=*,B1=*,C1=nor2_1(A=*,B=*));o311ai_0(A1=nor2_1(A=*,B=*),A2=*,A3=*,B1=*,C1=*);xnor2_1(A=nand2_1(A=*,B=*),B=*);xnor2_1(A=*,B=nand2_1(A=*,B=*));xnor2_1(A=*,B=nand2b_1(A_N=*,B=*));xnor2_1(A=lpflow_inputiso1p_1(A=*,SLEEP=*),B=*);xor2_1(A=o21ai_0(A1=*,A2=*,B1=*),B=*)"
